"API key is required", "API key es necesaria"
"Cart recovered", "Carrito recuperado"
"Check cart's data", "Algo salió mal, Revise sus productos"
"<p>When you integrate Creditea as a payment method, offer your customers the possibility to obtain a line of credit to shop in your store and split their payments in up to 60 fortnights.</p><br/><h3>Disclaimer</h3><p>Creditea is only available for transactions made in Mexican Pesos.</p>", "<p>Cuando integras Creditea como método de pago, ofrece a tus clientes la posibilidad de obtener una línea de crédito para comprar en tu tienda y dividir sus pagos hasta en 60 quincenas.</p><br/><h3>Disclaimer</h3><p>Creditea solo está disponible en transacciones efectuadas en Pesos Mexicanos.</p>"
"Enabled","Habilitado?"
"Title","Título"
"API Key Production","API Key Producción"
"Sort Order","Orden de visulización"
"order_id is required", "order_id es necesario"
"Order not found", "'Orden no encontrada"
"This order not belongsto Creditea", "Esta orden no pertenece a Creditea"
"This order was previously edited", "Esta orden fue editada previamente"
"Success all validations", "Todas las validaciones correctas"
"Payment received, processing order.", "Pago recibido, procesando orden."
"Payment Canceled.", "Pago cancelado."
"Error in the purchase process", "Error en el proceso de compra"
"When you use Creditea, you will obtain a line of credit to buy and divide your purchases in up to 60 fortnights, with no down payment!", "Cuando usas Creditea, obtendrás una línea de crédito para comprar y dividir tus compras hasta en 60 quincenas. ¡Sin pago inicial!"
